,Accession Planting,Status,Inventory Year
2,1978-0500-01-1,Dead,2013
3,1987-0156-01-5,Dead,2013
4,1977-0387-01-2,Dead,2013
5,2012-0254-01-31,Dead,2013
7,2013-0266-01-15,Dead,2013
9,2012-0254-01-44,Dead,2013
10,1976-0235-01-1,Dead,2013
12,2014-0302-01-1,Dead,2014
13,2012-0254-01-9,Dead,2014
14,2012-0065-01-50,Dead,2014
15,2008-0149-01-1,Dead,2014
16,1987-0156-01-7,Dead,2014
17,2012-0315-01-42,Dead,2015
18,2013-0013-01-5,Dead,2015
19,1990-0214-01-5,Dead,2015
20,2013-0063-01-38,Dead,2015
21,1980-0278-01-2,Dead,2015
22,2013-0064-01-5,Dead,2015
23,2013-1093-01-2,Dead,2015
24,1966-8304-01-1,Dead,2015
25,1990-0886-01-1,Dead,2015
26,2013-0063-01-18,Dead,2015
27,2012-0315-01-21,Dead,2015
28,2012-0314-01-44,Dead,2015
29,2012-0254-01-6,Dead,2015
30,2012-0065-01-59,Dead,2015
31,2012-0280-01-11,Dead,2015
32,2012-0065-01-97,Dead,2015
33,1987-0156-01-4,Dead,2015
34,2012-0254-01-28,Dead,2015
35,2012-0065-01-21,Dead,2015
36,1987-0600-01-2,Dead,2015
37,2012-0065-01-32,Dead,2015
56,1985-0254-01-20,Dead,2016
66,2013-1313-01-1,Dead,2016
67,2012-0065-01-37,Dead,2016
68,2012-0214-01-18,Dead,2016
69,2012-0214-01-50,Dead,2016
72,2012-0254-01-11,Dead,2016
74,2012-0065-01-66,Dead,2016
79,2015-0151-01-10,Dead,2016
92,2012-0314-01-33,Dead,2017
93,2012-0312-01-29,Dead,2017
94,1982-0006-06-11,Dead,2017
95,1987-0009-01-14,Dead,2017
99,2015-0152-01-1,Dead,2017
100,2013-0266-01-1,Dead,2017
101,1987-0009-01-6,Dead,2017
102,2013-0266-01-8,Dead,2017
103,1991-0210-01-14,Dead,2017
104,1987-0156-01-18,Dead,2017
105,2012-0280-01-5,Dead,2017
106,1991-0209-01-3,Dead,2017
107,2002-0161-01-8,Dead,2017
108,1978-0542-01-12,Dead,2017
109,1987-0157-01-4,Dead,2017
110,2012-0065-01-40,Dead,2017
111,2012-0065-01-48,Dead,2017
112,2012-0065-01-38,Dead,2017
115,2012-0254-01-40,Dead,2017
116,1985-0254-01-13,Dead,2018
117,1992-1482-01-1,Dead,2018
118,2012-0280-01-3,Dead,2018
119,2016-0042-01-4,Dead,2018
120,1993-0095-01-1,Dead,2018
121,2012-0254-01-17,Dead,2018
122,2012-0315-01-50,Dead,2018
123,2008-0001-01-23,Dead,2018
124,2012-0314-01-47,Dead,2018
125,2012-0214-01-17,Dead,2018
126,2012-0065-01-64,Dead,2018
127,2012-0315-01-45,Dead,2018
128,2008-0001-01-57,Dead,2018
130,2019-0188-01-12,Dead,2019
131,1986-0158-01-11,Dead,2019
132,2018-0026-01-5,Dead,2019
135,2013-0109-01-1,Dead,2019
136,2012-0315-01-44,Dead,2019
137,2012-0214-01-43,Dead,2019
138,2012-0214-01-29,Dead,2019
139,2012-0214-01-12,Dead,2019
140,2012-0065-01-79,Dead,2019
141,2012-0065-01-12,Dead,2019
143,2008-0001-01-8,Dead,2019
147,1990-0886-01-2,Dead,2019
148,1986-0158-01-6,Dead,2019
149,1987-0009-01-17,Dead,2019
150,1987-0009-01-5,Dead,2019
151,1987-0125-01-1,Dead,2019
152,1990-0214-01-24,Dead,2019
153,1987-0156-01-3,Dead,2019
154,2019-0142-01-2,Dead,2020
155,2014-0403-01-1,Dead,2020
156,2014-0149-01-8,Dead,2020
157,2013-0266-01-10,Dead,2020
158,2012-0314-01-12,Dead,2020
159,2012-0315-01-11,Dead,2020
160,2005-0247-10-0,Dead,2020
161,2012-0307-01-49,Dead,2020
162,2012-0254-01-47,Dead,2020
163,1990-0214-01-3,Dead,2020
164,1985-0254-01-24,Dead,2020
165,2012-0065-01-14,Dead,2020
166,1990-0214-01-6,Dead,2020
167,2012-0315-01-36,Dead,2020
168,2012-0065-01-46,Dead,2020
